Title,Body,Labels,Assignees
Definir modelos de datos,"Entidades: User, Technician, Client, Ticket, Appointment, Media, Quote, Escrow, Payment, Message, Audit.","epic:K,area:api,priority:P0,type:feature",
Auth y RBAC (JWT),"Login/refresh, roles (Client/Technician/Operations/Admin), middlewares y scopes.","epic:K,area:api,priority:P0,type:feature",
Onboarding Técnico (perfil + validación),A1–A3. Estados y auditoría de validación.,"epic:A,area:web,area:api,priority:P0,type:feature",
Ficha de Cliente,"B1. Geocoding de dirección, notas de acceso, preferencias.","epic:B,area:web,priority:P0,type:feature",
Crear Ticket con media inicial,"B2. Subida a S3 (pre-signed URLs), validaciones.","epic:B,area:api,priority:P0,type:feature",
Motor de matching y ofertas,"C1–C2. Categoría, zona, nivel. Push a técnicos elegibles.","epic:C,area:api,priority:P0,type:feature",
Confirmación cliente y agenda preliminar,"Ticket->ASIGNADO, apertura de agenda.","epic:C,area:web,priority:P0,type:feature",
Agenda y conflictos,"D1. Calendario con slots, bloqueos por choque.","epic:D,area:web,priority:P1,type:feature",
Confirmación de cita por técnico,D2. Cita->CONFIRMADA y notificaciones.,"epic:D,area:api,priority:P1,type:feature",
Recordatorio T-120 + tracking,D3. Push/SMS/email con enlace mapa.,"epic:D,area:jobs,priority:P1,type:feature",
Visita: notas y fotos,"E1. Reglas: notas obligatorias si hay media, metadatos.","epic:E,area:api,priority:P1,type:feature",
Consolidación de evaluación y aviso a Operaciones,E2. Generar informe para cotización.,"epic:E,area:api,priority:P2,type:feature",
Cotización con versionado,"F1. Items, impuestos, vigencia, auditoría.","epic:F,area:web,priority:P1,type:feature",
Aprobación cliente (UI) + pagos,F2. Aceptar/rechazar + seleccionar parcial/total.,"epic:F,area:web,priority:P0,type:feature",
Integración Stripe — Escrow,"F3. Authorize, intents, webhooks; estado ESCROW_ACTIVO.","epic:F,area:api,priority:P0,type:feature",
Programar ejecución,G1. Selección de fecha posterior a aprobación.,"epic:G,area:web,priority:P1,type:feature",
Confirmación técnico (ejecución),G2. Estado confirmado.,"epic:G,area:api,priority:P1,type:feature",
Ejecución + fotos finales,G3. Al menos 1 foto final si hubo iniciales.,"epic:G,area:api,priority:P1,type:feature",
Firma de recepción en app,"G4. Captura nombre, fecha, geo opcional; Ticket->ENTREGADO.","epic:G,area:api,priority:P0,type:feature",
Cron pago T+15,H1. Payout si no hay disputa; comprobantes.,"epic:H,area:jobs,priority:P0,type:feature",
Disputas básicas,H2. Abrir disputa congela escrow; resolución manual.,"epic:H,area:web,priority:P2,type:feature",
Cierre automático sin disputa,H3. Ticket->CERRADO + encuesta NPS.,"epic:H,area:jobs,priority:P2,type:feature",
Ratings y NPS,I1. 1–5 estrellas + comentario; NPS al cierre.,"epic:I,area:web,priority:P2,type:feature",
Chat in‑app anonimizado,J2. No exponer teléfonos; todo auditable.,"epic:J,area:web,priority:P2,type:feature",
Auditoría completa,K1. Quién/cuándo/antes/después; inmutable.,"epic:K,area:api,priority:P0,type:feature",
Observabilidad básica,"Logs estructurados, métricas y traces.","epic:K,area:infra,priority:P0,type:feature",
Hardening seguridad,"Políticas de contraseña, MFA opcional, CORS, rate limit.","epic:K,area:api,priority:P0,type:feature",
